SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
12008 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,1023,0326,Athens,,1,15,15
12011 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,0081,0269,Athens,,1,15,15
12012 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,0050,0114A,Athens,,1,15,15
21094 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,1130,0303,Athens,,1,15,15
21282 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,1010,0379,Athens,,1,15,15
21375 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,0081,0274,Athens,,1,15,15
21377 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,1011,0311,Athens,,1,15,15
21378 0,A 1.0 - 1.0,T,05:00 pm-06:15 pm,,0081,0205,Athens,,1,15,15
21381 0,A 1.0 - 1.0,M,04:40 pm-05:30 pm,,0081,0274,Athens,,1,15,15
21384 0,A 1.0 - 1.0,M,04:40 pm-05:30 pm,,1023,0326,Athens,,1,15,15
21394 0,A 1.0 - 1.0,M,04:40 pm-05:30 pm,,0081,0205,Athens,,1,15,15
21397 0,A 1.0 - 1.0,M,04:40 pm-05:30 pm,,1130,0303,Athens,,1,15,15
21401 0,A 1.0 - 1.0,M,04:40 pm-05:30 pm,,0081,0269,Athens,,1,15,15
21405 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,,0081,0269,Athens,,1,15,15
21407 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,,1130,0303,Athens,,1,15,15
21410 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,,1023,0326,Athens,,1,15,15
21411 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,,0081,0205,Athens,,1,15,15
21414 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,,0081,0274,Athens,,1,15,15
21415 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1060,0626,Athens,,1,15,15
21424 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0064,0426,Athens,,1,15,15
21425 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0640,0230,Athens,,1,15,15
21431 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1060,0625,Athens,,1,15,15
21446 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1060,0306,Athens,,1,15,15
21460 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0030,0118,Athens,Morehead,1,16,16
21461 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1023,0326,Athens,,1,15,15
21496 0,A 1.0 - 1.0,M,03:35 pm-04:45 pm,,1060,0220,Athens,,1,15,15
21516 0,A 1.0 - 1.0,M,03:35 pm-04:45 pm,,1060,0520,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
21517 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0081,0277,Athens,,1,15,15
21518 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0081,0205,Athens,,1,15,15
21527 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1060,0616,Athens,,1,15,15
21528 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1031,0107,Athens,,1,15,15
21532 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0064,0513,Athens,,1,15,15
21537 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0056,0228,Athens,,1,15,15
21538 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1046,0516,Athens,,1,15,15
21540 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0640,0035,Athens,,1,15,15
21544 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0640,0251,Athens,,1,15,15
21545 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0081,0274,Athens,,1,15,15
21546 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,0081,0269,Athens,,1,15,15
21549 0,A 1.0 - 1.0,M,03:35 pm-04:25 pm,,1060,0607,Athens,,1,15,15
21551 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0056,0225,Athens,,1,15,15
21565 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1046,0516,Athens,,1,15,15
21567 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1031,0107,Athens,,1,15,15
21568 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0640,0251,Athens,,1,15,15
21611 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0640,0230,Athens,,1,15,15
21612 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1060,0626,Athens,,1,15,15
21617 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0081,0269,Athens,,1,15,15
21633 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1023,0326,Athens,,1,15,15
21636 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0064,0513,Athens,,1,15,15
21639 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0056,0228,Athens,,1,15,15
21640 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1040,0307,Athens,,1,15,15
21644 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1060,0607,Athens,,1,15,15
21645 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0081,0277,Athens,,1,15,15
21647 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0640,0035,Athens,,1,15,15
21649 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0081,0205,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
21676 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,1060,0625,Athens,,1,15,15
21678 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0060,0310,Athens,,1,15,15
21681 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0053,0102,Athens,,1,15,15
21694 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0056,0067,Athens,,1,15,15
21696 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0056,0327,Athens,,1,15,15
21704 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1130,0303,Athens,,1,15,15
21719 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0061,0001,Athens,,1,15,15
21723 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0081,0277,Athens,,1,15,15
21724 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1002,0154,Athens,,1,15,15
21725 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0050,0G32,Athens,,1,15,15
21729 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0081,0269,Athens,,1,15,15
21731 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0640,0035,Athens,,1,15,15
21732 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0042,0219,Athens,,1,15,15
21733 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1031,0107,Athens,,1,15,15
21734 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0061,0002,Athens,,1,15,15
21735 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0081,0205,Athens,,1,15,15
21743 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0064,0304,Athens,,1,15,15
21744 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1060,0220,Athens,,1,15,15
21746 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1060,0306,Athens,,1,15,15
21747 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0056,0228,Athens,,1,15,15
21767 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0081,0274,Athens,,1,15,15
21768 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,1060,0616,Athens,,1,15,15
21769 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,,0640,0230,Athens,,1,15,15
21774 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0640,0230,Athens,,1,15,15
21777 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1031,0107,Athens,,1,15,15
21781 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0061,0002,Athens,,1,15,15
21785 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0053,0102,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
21787 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1020,0202,Athens,,1,15,15
21789 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0081,0205,Athens,,1,15,15
21809 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0081,0274,Athens,,1,15,15
21813 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0064,0304,Athens,,1,15,15
21834 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0061,0001,Athens,,1,15,15
21839 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0081,0277,Athens,,1,15,15
27704 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1060,0520,Athens,,1,15,15
30983 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0056,0327,Athens,,1,15,15
30984 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0042,0219,Athens,,1,15,15
30985 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1060,0220,Athens,,1,15,15
30986 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0056,0228,Athens,,1,15,15
30987 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1130,0303,Athens,,1,15,15
30988 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0056,0067,Athens,,1,15,15
31007 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0060,0310,Athens,,1,15,15
31008 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,0081,0269,Athens,,1,15,15
31032 0,A 1.0 - 1.0,W,02:30 pm-03:20 pm,,1060,0412,Athens,,1,15,15
31084 0,A 1.0 - 1.0,M,10:10 am-12:05 pm,,0130,0100,Athens,Whitten,S1,0,0
31316 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1031,0107,Athens,,1,15,15
31319 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0053,0102,Athens,,1,15,15
31320 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1010,0379,Athens,,1,15,15
31321 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0042,0219,Athens,,1,15,15
31322 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0056,0251,Athens,,1,15,15
31323 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0060,0310,Athens,,1,15,15
31326 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0033,0104,Athens,,1,15,15
31327 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0081,0274,Athens,,1,15,15
31328 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1040,0307,Athens,,1,15,15
31329 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0056,0225,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31330 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0064,0426,Athens,,1,15,15
31331 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0081,0205,Athens,,1,15,15
31332 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1060,0607,Athens,,1,15,15
31334 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0053,0320,Athens,,1,15,15
31335 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0081,0269,Athens,,1,15,15
31336 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1060,0531,Athens,,1,15,15
31337 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0064,0513,Athens,,1,15,15
31338 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0056,0228,Athens,,1,15,15
31339 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,1060,0616,Athens,,1,15,15
31348 0,A 1.0 - 1.0,,F 02:30 pm-03:20 pm,,0081,0277,Athens,,1,15,15
31349 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,,0081,0274,Athens,,1,15,15
31429 0,A 1.0 - 1.0,M,08:00 am-08:50 am,,0081,0205,Athens,,1,15,15
31430 0,A 1.0 - 1.0,M,08:00 am-08:50 am,,0081,0277,Athens,,1,15,15
31431 0,A 1.0 - 1.0,W,08:00 am-08:50 am,,0081,0205,Athens,,1,15,15
31432 0,A 1.0 - 1.0,W,08:00 am-08:50 am,,0081,0277,Athens,,1,15,15
31434 0,A 1.0 - 1.0,,F 08:00 am-08:50 am,,0081,0205,Athens,,1,15,15
31436 0,A 1.0 - 1.0,,F 08:00 am-08:50 am,,0081,0277,Athens,,1,15,15
31437 0,A 1.0 - 1.0,M,09:05 am-09:55 am,,1031,0107,Athens,,1,15,15
31438 0,A 1.0 - 1.0,M,09:05 am-09:55 am,,0081,0277,Athens,,1,15,15
31439 0,A 1.0 - 1.0,M,09:05 am-09:55 am,,0042,0205C,Athens,,1,15,15
31440 0,A 1.0 - 1.0,M,09:05 am-09:55 am,,1023,0326,Athens,,1,15,15
31441 0,A 1.0 - 1.0,W,09:05 am-09:55 am,,1130,0303,Athens,,1,15,15
31443 0,A 1.0 - 1.0,W,09:05 am-09:55 am,,0064,0426,Athens,,1,15,15
31444 0,A 1.0 - 1.0,W,09:05 am-09:55 am,,1031,0107,Athens,,1,15,15
31445 0,A 1.0 - 1.0,W,09:05 am-09:55 am,,1023,0326,Athens,,1,15,15
31446 0,A 1.0 - 1.0,,F 09:05 am-09:55 am,,1010,0379,Athens,,1,15,15
31447 0,A 1.0 - 1.0,,F 09:05 am-09:55 am,,0081,0274,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31448 0,A 1.0 - 1.0,,F 09:05 am-09:55 am,,0081,0269,Athens,,1,15,15
31451 0,A 1.0 - 1.0,,F 09:05 am-09:55 am,,0081,0277,Athens,,1,15,15
31452 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0081,0274,Athens,,1,15,15
31454 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,1031,0107,Athens,,1,15,15
31455 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0050,0G32,Athens,,1,15,15
31456 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0081,0277,Athens,,1,15,15
31457 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0064,0513,Athens,,1,15,15
31459 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0050,0114A,Athens,,1,15,15
31465 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,1060,0531,Athens,,1,15,15
31466 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0056,0225,Athens,,1,15,15
31467 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,1130,0303,Athens,,1,15,15
31468 0,A 1.0 - 1.0,M,10:10 am-11:00 am,,0081,0269,Athens,,1,15,15
31470 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,1060,0607,Athens,,1,15,15
31472 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,1060,0625,Athens,,1,15,15
31473 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0081,0274,Athens,,1,15,15
31475 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0056,0225,Athens,,1,15,15
31482 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0053,0320,Athens,,1,15,15
31483 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0042,0219,Athens,,1,15,15
31484 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,1130,0303,Athens,,1,15,15
31486 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0081,0269,Athens,,1,15,15
31494 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,0640,0035,Athens,,1,15,15
31495 0,A 1.0 - 1.0,W,10:10 am-11:00 am,,1031,0107,Athens,,1,15,15
31496 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0081,0277,Athens,,1,15,15
31513 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,1010,0379,Athens,,1,15,15
31540 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0081,0274,Athens,,1,15,15
31541 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0081,0269,Athens,,1,15,15
31547 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0081,0205,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31548 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0050,0G32,Athens,,1,15,15
31551 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0033,0104,Athens,,1,15,15
31554 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,1031,0107,Athens,,1,15,15
31563 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,0056,0225,Athens,,1,15,15
31582 0,A 1.0 - 1.0,,F 10:10 am-11:00 am,,1130,0303,Athens,,1,15,15
31584 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0050,0114A,Athens,,1,15,15
31585 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0081,0269,Athens,,1,15,15
31586 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0060,0310,Athens,,1,15,15
31587 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,1130,0303,Athens,,1,15,15
31588 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0081,0205,Athens,,1,15,15
31590 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0064,0426,Athens,,1,15,15
31605 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0081,0277,Athens,,1,15,15
31606 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,1031,0107,Athens,,1,15,15
31607 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0081,0274,Athens,,1,15,15
31608 0,A 1.0 - 1.0,M,11:15 am-12:05 pm,,0056,0225,Athens,,1,15,15
31611 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,1031,0107,Athens,,1,15,15
31614 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,1060,0220,Athens,,1,15,15
31615 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0081,0274,Athens,,1,15,15
31617 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0060,0310,Athens,,1,15,15
31619 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0640,0035,Athens,,1,15,15
31620 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0081,0205,Athens,,1,15,15
31621 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0081,0269,Athens,,1,15,15
31625 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,1130,0303,Athens,,1,15,15
31626 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,0056,0225,Athens,,1,15,15
31633 0,A 1.0 - 1.0,W,11:15 am-12:05 pm,,1060,0607,Athens,,1,15,15
31634 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0060,0310,Athens,,1,15,15
31636 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0081,0269,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31639 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,1031,0107,Athens,,1,15,15
31640 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,1010,0379,Athens,,1,15,15
31641 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,1130,0303,Athens,,1,15,15
31642 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0081,0274,Athens,,1,15,15
31644 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0081,0277,Athens,,1,15,15
31649 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0081,0205,Athens,,1,15,15
31651 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,0033,0104,Athens,,1,15,15
31654 0,A 1.0 - 1.0,,F 11:15 am-12:05 pm,,1023,0326,Athens,,1,15,15
31655 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,1023,0326,Athens,,1,15,15
31656 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0081,0205,Athens,,1,15,15
31659 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0056,0251,Athens,,1,15,15
31660 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0081,0274,Athens,,1,15,15
31661 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0081,0269,Athens,,1,15,15
31668 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0081,0277,Athens,,1,15,15
31669 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,0056,0225,Athens,,1,15,15
31671 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,1060,0607,Athens,,1,15,15
31677 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,1060,0531,Athens,,1,15,15
31678 0,A 1.0 - 1.0,M,12:20 pm-01:10 pm,,1031,0107,Athens,,1,15,15
31683 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0250,0217,Athens,,1,15,15
31684 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,1023,0326,Athens,,1,15,15
31688 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0081,0277,Athens,,1,15,15
31689 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0060,0310,Athens,,1,15,15
31690 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0081,0205,Athens,,1,15,15
31691 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0056,0225,Athens,,1,15,15
31694 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0081,0269,Athens,,1,15,15
31698 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0056,0251,Athens,,1,15,15
31700 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,1031,0107,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31701 0,A 1.0 - 1.0,W,12:20 pm-01:10 pm,,0081,0274,Athens,,1,15,15
31702 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,1010,0379,Athens,,1,15,15
31703 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,1031,0107,Athens,,1,15,15
31704 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0056,0251,Athens,,1,15,15
31708 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0081,0274,Athens,,1,15,15
31709 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0060,0310,Athens,,1,15,15
31722 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0033,0104,Athens,,1,15,15
31723 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0081,0277,Athens,,1,15,15
31724 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,1023,0326,Athens,,1,15,15
31725 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0081,0269,Athens,,1,15,15
31727 0,A 1.0 - 1.0,,F 12:20 pm-01:10 pm,,0081,0205,Athens,,1,15,15
31728 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,1060,0306,Athens,,1,15,15
31729 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,1060,0220,Athens,,1,15,15
31741 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0053,0320,Athens,,1,15,15
31742 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0064,0304,Athens,,1,15,15
31743 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0081,0277,Athens,,1,15,15
31746 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0053,0230,Athens,,1,15,15
31747 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0053,0135,Athens,,1,15,15
31754 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0061,0001,Athens,,1,15,15
31755 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,1060,0607,Athens,,1,15,15
31761 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0081,0205,Athens,,1,15,15
31762 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,1060,0616,Athens,,1,15,15
31781 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0056,0067,Athens,,1,15,15
31794 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0081,0274,Athens,,1,15,15
31796 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0250,0217,Athens,,1,15,15
31797 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0081,0269,Athens,,1,15,15
31798 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,1010,0379,Athens,,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
FYOS,1001,First Year Odyssey,,,,,,,,,
31799 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0061,0002,Athens,,1,15,15
31800 0,A 1.0 - 1.0,M,01:25 pm-02:15 pm,,0060,0310,Athens,,1,15,15
